SampleID	SPECIES	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Pct_reads_mapped	Average_Coverage
JEL0117.sorted_shovill	Rhizoclosmatium_sp._JEL0117	4040	35171306	1000	162508	3674	8705.77	509	18907	2117	3352	0.0	0.0	0.0	0.0	100.0	290	6322950	6150611	97.3	26.2
JEL0117.spades	Rhizoclosmatium_sp._JEL0117	185633	65820785	75	132074	173	354.57	18828	592	127119	155	NA	NA	NA	NA	NA	NA	6322950	6194209	98.0	14.1
JEL0117.spades_shovill	Rhizoclosmatium_sp._JEL0117	4040	35188144	1000	162708	3684	8709.94	509	18928	2117	3352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0117.spades_sorted	Rhizoclosmatium_sp._JEL0117	11128	27009959	959	132074	1727	2427.21	2610	2595	8701	1244	0.0	0.0	0.0	0.0	100.0	290	6322950	4781329	75.6	26.5
JEL0120.dipspades	Entophlyctis_luteolus_JEL0120	2939	26148257	79	130324	5235	8896.99	441	16855	1527	4896	73.1	60.0	13.1	11.7	15.2	290	4405392	3923977	89.1	22.4
JEL0120.dipspades_sorted	Entophlyctis_luteolus_JEL0120	2442	25900143	1002	130307	7006	10606.12	435	16966	1489	5116	72.4	59.3	13.1	12.4	15.2	290	4405392	3919870	89.0	22.6
JEL0120.sorted_shovill	Entophlyctis_luteolus_JEL0120	613	5562067	1002	131521	4202	9073.52	69	18091	343	3602	13.4	13.4	0.0	3.4	83.2	290	4405392	3085856	70.0	83.2
JEL0120.spades	Entophlyctis_luteolus_JEL0120	1234	715575	74	107124	134	579.88	6	38931	541	143	NA	NA	NA	NA	NA	NA	4405392	2872045	65.2	601.4
JEL0120.spades_shovill	Entophlyctis_luteolus_JEL0120	613	5561783	1002	131542	4202	9073.06	69	18091	343	3602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0120.spades_sorted	Entophlyctis_luteolus_JEL0120	54	540614	1001	107124	2099	10011.37	4	50619	20	3251	0.0	0.0	0.0	0.0	100.0	290	4405392	2431097	55.2	674.1
JEL0129.sorted_shovill	Entophlyctis_luteolus_JEL0129	1825	29196479	840	278745	3532	15998.07	158	50737	667	7834	79.3	64.5	14.8	9.7	11.0	290	7372914	7058642	95.7	36.3
JEL0129.spades	Entophlyctis_luteolus_JEL0129	84596	37768998	75	290265	93	446.46	221	38543	39338	96	NA	NA	NA	NA	NA	NA	7372914	7285628	98.8	28.9
JEL0129.spades_shovill	Entophlyctis_luteolus_JEL0129	1824	29198077	1000	278745	3535	16007.72	158	50733	666	7834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0129.spades_sorted	Entophlyctis_luteolus_JEL0129	1318	27694625	1002	290265	4668	21012.61	122	68043	478	12701	82.4	67.6	14.8	7.2	10.4	290	7372914	6624598	89.9	35.9
JEL0176.dipspades	Chytriomyces_hyalinus_JEL0176	2837	29860311	82	151285	3590	10525.31	308	28200	1178	5339	81.4	68.6	12.8	4.8	13.8	290	4057406	3105954	76.6	15.5
JEL0176.dipspades_sorted	Chytriomyces_hyalinus_JEL0176	2199	29545400	1007	151285	6201	13435.83	303	28716	1133	5810	80.7	68.3	12.4	4.8	14.5	290	4057406	3102923	76.5	15.7
JEL0176.sorted_shovill	Chytriomyces_hyalinus_JEL0176	3001	35110295	1000	199009	5888	11699.53	397	24062	1657	5020	87.6	72.1	15.5	5.5	6.9	290	4057406	3817814	94.1	16.3
JEL0176.spades	Chytriomyces_hyalinus_JEL0176	44347	41849653	77	278913	137	943.69	334	24105	10366	249	NA	NA	NA	NA	NA	NA	4057406	3959868	97.6	14.2
JEL0176.spades_shovill	Chytriomyces_hyalinus_JEL0176	3001	35114763	1002	199009	5888	11701.02	397	24062	1658	5025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0176.spades_sorted	Chytriomyces_hyalinus_JEL0176	3195	34430444	1002	278913	3260	10776.35	210	37008	1444	3792	84.5	66.9	17.6	6.9	8.6	290	4057406	3645185	89.8	15.8
JEL0318.dipspades	Rhizophlyctis_rosea_JEL0318	4499	38481889	80	182390	3307	8553.43	482	21869	1855	5132	81.7	81.0	0.7	8.3	10.0	290	42451004	33815085	79.7	132.7
JEL0318.dipspades_sorted	Rhizophlyctis_rosea_JEL0318	3050	37853164	1000	182390	7307	12410.87	468	22329	1752	5875	81.7	81.0	0.7	8.3	10.0	290	42451004	32665622	76.9	130.3
JEL0318.sorted_shovill	Rhizophlyctis_rosea_JEL0318	3868	38842517	1001	145080	5893	10042.02	603	18043	2234	4497	83.1	82.4	0.7	8.6	8.3	290	42451004	34603202	81.5	134.5
JEL0318.spades	Rhizophlyctis_rosea_JEL0318	14428	41068027	78	182390	166	2846.41	551	20351	2307	3413	NA	NA	NA	NA	NA	NA	42451004	39194604	92.3	144.1
JEL0318.spades_shovill	Rhizophlyctis_rosea_JEL0318	3868	38842503	1001	145080	5893	10042.01	603	18043	2234	4497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0318.spades_sorted	Rhizophlyctis_rosea_JEL0318	3271	38859322	1000	182390	6908	11879.95	498	21549	1855	5621	82.8	82.1	0.7	9.3	7.9	290	42451004	34278059	80.7	133.2
JEL0345.dipspades	Chytriomyces_hyalinus_JEL0345	2136	28687156	80	207773	3011	13430.32	199	41550	742	9014	82.8	69.7	13.1	2.8	14.4	290	6283536	5306782	84.5	27.7
JEL0345.dipspades_sorted	Chytriomyces_hyalinus_JEL0345	1540	28404701	997	207773	8105	18444.61	196	41827	720	9542	83.1	70.0	13.1	2.8	14.1	290	6283536	5269744	83.9	27.7
JEL0345.sorted_shovill	Chytriomyces_hyalinus_JEL0345	1763	30986795	1000	243792	7018	17576.17	197	42514	809	8265	88.2	73.4	14.8	2.4	9.4	290	6283536	6038996	96.1	29.2
JEL0345.spades	Chytriomyces_hyalinus_JEL0345	45134	39083492	78	478136	155	865.94	208	34540	15120	203	NA	NA	NA	NA	NA	NA	6283536	6187183	98.5	23.7
JEL0345.spades_shovill	Chytriomyces_hyalinus_JEL0345	1761	30991584	1000	243792	7025	17598.86	196	43032	808	8265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0345.spades_sorted	Chytriomyces_hyalinus_JEL0345	3095	30624358	1000	478138	2178	9894.78	117	64374	1216	2767	81.0	66.2	14.8	5.9	13.1	290	6283536	5720372	91.0	28.0
JEL0379.dipspades	Geranomyces_variabilis_JEL0379	613	23182223	78	543762	12020	37817.66	67	104042	227	29050	91.1	88.3	2.8	2.4	6.5	290	6042278	5527804	91.5	35.7
JEL0379.dipspades_sorted	Geranomyces_variabilis_JEL0379	467	23136539	757	543766	27328	49542.91	67	104042	226	29050	91.1	88.3	2.8	2.4	6.5	290	6042278	5470473	90.5	35.4
JEL0379.sorted_shovill	Geranomyces_variabilis_JEL0379	490	23539282	757	425936	20469	48039.35	62	121250	209	29741	91.7	88.6	3.1	2.1	6.2	290	6042278	5680163	94.0	36.2
JEL0379.spades	Geranomyces_variabilis_JEL0379	10531	24723338	77	775115	105	2347.67	34	214962	127	37528	NA	NA	NA	NA	NA	NA	6042278	5900589	97.7	35.8
JEL0379.spades_shovill	Geranomyces_variabilis_JEL0379	489	23541952	1000	425934	20469	48143.05	62	121250	209	29741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0379.spades_sorted	Geranomyces_variabilis_JEL0379	313	23394538	757	775115	11362	74742.93	31	225234	103	61752	91.8	89.0	2.8	2.1	6.1	290	6042278	5656452	93.6	36.3
JEL0388.dipspades	Phlyctochytrium_planicorne_JEL0388	1033	30084371	80	327127	11061	29123.30	123	79884	423	20467	77.6	75.9	1.7	4.8	17.6	290	6118408	4802743	78.5	23.9
JEL0388.dipspades_sorted	Phlyctochytrium_planicorne_JEL0388	853	30010325	778	327127	20150	35182.09	124	79884	421	20616	77.6	75.9	1.7	4.8	17.6	290	6118408	4832884	79.0	24.0
JEL0388.sorted_shovill	Phlyctochytrium_planicorne_JEL0388	1084	34057827	1001	283446	14652	31418.66	139	77011	486	19625	82.7	78.6	4.1	5.2	12.1	290	6118408	5894801	96.3	25.9
JEL0388.spades	Phlyctochytrium_planicorne_JEL0388	13394	35792158	78	614728	155	2672.25	92	104861	452	9618	NA	NA	NA	NA	NA	NA	6118408	6006957	98.2	25.1
JEL0388.spades_shovill	Phlyctochytrium_planicorne_JEL0388	1083	34060685	1001	283446	14652	31450.31	138	77011	485	19625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0389.dipspades	Geranomyces_variabilis_JEL0389	325	23057566	83	1043465	543	70946.36	23	342700	70	101807	87.6	84.5	3.1	2.8	9.6	290	13984052	13063981	93.4	84.9
JEL0389.sorted_shovill	Geranomyces_variabilis_JEL0389	189	24312125	1002	1111325	9817	128635.58	15	636228	47	116610	91.4	88.6	2.8	2.4	6.2	290	13984052	13866211	99.2	85.5
JEL0389.spades	Geranomyces_variabilis_JEL0389	3132	24640174	78	1046727	142	7867.23	17	475954	53	124017	NA	NA	NA	NA	NA	NA	13984052	13890216	99.3	84.5
JEL0389.spades_shovill	Geranomyces_variabilis_JEL0389	188	24312173	1002	1167450	9817	129320.07	14	680325	46	116610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0389.spades_sorted	Geranomyces_variabilis_JEL0389	178	24136728	1002	1046727	11185	135599.60	17	475954	50	134065	92.5	89.7	2.8	2.4	5.1	290	13984052	13832157	98.9	85.9
JEL0407.dipspades	Nowakowskiella_sp._JEL0407	2834	23133199	80	281532	378	8162.74	143	51746	541	6445	73.5	69.0	4.5	3.4	23.1	290	20673254	14175397	68.6	92.5
JEL0407.dipspades_sorted	Nowakowskiella_sp._JEL0407	1174	22617538	1003	281512	5355	19265.36	138	52255	480	8887	73.8	69.3	4.5	3.8	22.4	290	20673254	14107001	68.2	94.2
JEL0407.sorted_shovill	Nowakowskiella_sp._JEL0407	6662	27863350	981	141611	2048	4182.43	656	6697	4444	1562	70.3	66.2	4.1	15.2	14.5	290	20673254	16025990	77.5	86.8
JEL0407.spades	Nowakowskiella_sp._JEL0407	68107	40340813	68	185860	200	592.32	2903	1940	39737	171	NA	NA	NA	NA	NA	NA	20673254	17575506	85.0	65.8
JEL0407.spades_shovill	Nowakowskiella_sp._JEL0407	6663	27867701	1000	141611	2047	4182.46	656	6698	4445	1561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0407.spades_sorted	Nowakowskiella_sp._JEL0407	6021	24480074	1000	185860	1888	4065.78	465	7095	3997	1484	55.2	49.7	5.5	19.0	25.8	290	20673254	14775260	71.5	91.1
JEL0476.dipspades	Clydaea_vesicula_JEL0476	5168	24332593	85	115310	1582	4708.32	408	15102	2068	2273	76.9	70.7	6.2	8.6	14.5	290	59016572	43765065	74.2	271.6
JEL0476.dipspades_sorted	Clydaea_vesicula_JEL0476	3055	23476635	1001	115322	3583	7684.66	382	15787	1774	2900	75.9	69.7	6.2	8.6	15.5	290	59016572	43608409	73.9	280.5
JEL0476.sorted_shovill	Clydaea_vesicula_JEL0476	3545	23962299	1000	94928	3133	6759.46	428	14209	2090	2492	77.9	72.4	5.5	10.3	11.8	290	59016572	49269634	83.5	310.5
JEL0476.spades	Clydaea_vesicula_JEL0476	9573	25986619	78	145026	155	2714.57	304	22612	1553	2568	NA	NA	NA	NA	NA	NA	59016572	51655893	87.5	300.2
JEL0476.spades_shovill	Clydaea_vesicula_JEL0476	3541	23959599	1000	94928	3133	6766.34	427	14214	2086	2492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0476.spades_sorted	Clydaea_vesicula_JEL0476	2291	24650228	1001	145027	4781	10759.59	277	24845	1202	4361	79.0	73.1	5.9	9.0	12.0	290	59016572	48080122	81.5	294.5
JEL0513.sorted_shovill	Physocladia_obscura_JEL0513	6996	45864576	1001	61389	4194	6555.83	1291	10745	4478	2880	79.3	63.1	16.2	13.1	7.6	290	24713832	20509564	83.0	67.5
JEL0513.spades	Physocladia_obscura_JEL0513	74768	53989144	77	72824	110	722.09	1624	9024	21623	155	NA	NA	NA	NA	NA	NA	24713832	21027863	85.1	58.8
JEL0513.spades_shovill	Physocladia_obscura_JEL0513	6995	45867245	1001	61388	4194	6557.15	1292	10744	4478	2880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0513.spades_sorted	Physocladia_obscura_JEL0513	6326	44089900	681	72824	4358	6969.63	1143	11689	3960	3063	80.7	64.5	16.2	11.4	7.9	290	24713832	19690402	79.7	67.4
JEL0522.dipspades	Lobulomyces_angularis_JEL0522	2724	24367110	79	152523	3145	8945.34	266	26495	1139	4402	85.5	79.3	6.2	5.2	9.3	290	3957618	3295842	83.3	20.2
JEL0522.sorted_shovill	Lobulomyces_angularis_JEL0522	1938	24710483	1010	120097	6096	12750.51	258	28224	1050	5352	81.7	75.5	6.2	5.5	12.8	290	3957618	3798504	96.0	23.1
JEL0522.spades	Lobulomyces_angularis_JEL0522	12076	26647715	78	248600	142	2206.67	182	42261	816	4489	NA	NA	NA	NA	NA	NA	3957618	3899890	98.5	21.9
JEL0522.spades_shovill	Lobulomyces_angularis_JEL0522	1930	24713649	1010	120097	6107	12805.00	257	28224	1043	5397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0522.spades_sorted	Lobulomyces_angularis_JEL0522	1253	24944113	1003	248600	8967	19907.51	165	46169	598	9945	85.2	79.0	6.2	5.5	9.3	290	3957618	3731995	94.3	22.4
JEL0563.dipspades	Geranomyces_michiganensis_JEL0563	440	22714556	79	360821	16900	51623.99	55	131631	167	41219	90.0	86.9	3.1	2.8	7.2	290	5160368	4763297	92.3	31.4
JEL0563.sorted_shovill	Geranomyces_michiganensis_JEL0563	404	23754344	1008	520897	18919	58797.88	52	154605	157	41415	91.7	89.3	2.4	2.8	5.5	290	5160368	5023108	97.3	31.7
JEL0563.spades	Geranomyces_michiganensis_JEL0563	5824	24343060	78	875242	125	4179.78	30	269484	106	50077	NA	NA	NA	NA	NA	NA	5160368	5092913	98.7	31.4
JEL0563.spades_shovill	Geranomyces_michiganensis_JEL0563	404	23754792	1008	520897	18919	58798.99	52	154605	157	41415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0563.spades_sorted	Geranomyces_michiganensis_JEL0563	282	23465858	1001	875245	15094	83212.26	29	269724	94	64760	91.7	89.3	2.4	2.1	6.2	290	5160368	5006453	97.0	31.9
JEL0566.dipspades	Geranomyces_variabilis_JEL0566	363	23448516	78	1224249	11404	64596.46	33	205894	114	56607	92.1	88.3	3.8	2.4	5.5	290	8629242	8318536	96.4	53.1
JEL0566.sorted_shovill	Geranomyces_variabilis_JEL0566	278	23790907	1036	821448	17081	85578.80	29	268120	98	71646	92.4	88.6	3.8	2.4	5.2	290	8629242	8461891	98.1	53.3
JEL0566.spades	Geranomyces_variabilis_JEL0566	9069	24749125	78	1433262	103	2728.98	20	397283	74	60977	NA	NA	NA	NA	NA	NA	8629242	8526985	98.8	51.7
JEL0566.spades_shovill	Geranomyces_variabilis_JEL0566	277	23790729	1036	821448	16599	85887.11	29	268120	97	71646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0566.spades_sorted	Geranomyces_variabilis_JEL0566	205	23613044	1012	1224719	14259	115185.58	20	397283	63	105760	92.4	88.6	3.8	2.1	5.5	290	8629242	8414670	97.5	53.4
JEL0567.dipspades	Geranomyces_variabilis_JEL0567	41326	50465980	80	769768	458	1221.17	999	2273	24022	385	86.5	74.8	11.7	9.0	4.5	290	9628700	9052538	94.0	26.8
JEL0567.sorted_shovill	Geranomyces_variabilis_JEL0567	241	23969526	1005	1217882	7337	99458.61	20	363350	70	85164	93.4	91.0	2.4	1.4	5.2	290	9628700	8739171	90.8	54.6
JEL0567.spades	Geranomyces_variabilis_JEL0567	10908	25390133	78	1224245	107	2327.66	18	424220	64	70560	NA	NA	NA	NA	NA	NA	9628700	8802234	91.4	52.0
JEL0567.spades_shovill	Geranomyces_variabilis_JEL0567	242	24023410	1005	1217882	7555	99270.29	20	363350	70	85165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0567.spades_sorted	Geranomyces_variabilis_JEL0567	165	23750802	1000	1224245	8912	143944.25	16	473289	49	151068	92.7	90.3	2.4	1.4	5.9	290	9628700	8732670	90.7	55.0
JEL0680.dipspades	Kappamyces_sp._JEL0680	711	9931952	78	189478	1759	13968.99	50	65034	172	11340	33.8	32.4	1.4	15.9	50.3	290	6205902	3996772	64.4	60.2
JEL0680.sorted_shovill	Kappamyces_sp._JEL0680	732	14965360	1000	222230	9232	20444.48	93	45516	344	10199	49.0	49.0	0.0	24.5	26.5	290	6205902	6050142	97.5	60.6
JEL0680.spades	Kappamyces_sp._JEL0680	32811	19392475	69	119664	155	591.04	1069	3199	18393	155	NA	NA	NA	NA	NA	NA	6205902	6157089	99.2	47.6
JEL0680.spades_shovill	Kappamyces_sp._JEL0680	731	14965479	1000	254998	9167	20472.61	92	45516	343	10199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0680.spades_sorted	Kappamyces_sp._JEL0680	3215	13243986	1000	119288	1901	4119.44	433	7589	2087	1460	39.7	39.7	0.0	27.2	33.1	290	6205902	5390273	86.9	61.0
JEL0708.dipspades	Gaertneriomyces_sp._JEL0708	28875	43577750	78	1260815	516	1509.19	603	3482	15150	481	90.7	81.7	9.0	3.1	6.2	290	5439898	5060374	93.0	17.4
JEL0708.sorted_shovill	Gaertneriomyces_sp._JEL0708	182	20410369	1002	1189556	18857	112144.88	16	410578	58	105626	91.7	86.9	4.8	1.0	7.3	290	5439898	4691400	86.2	34.4
JEL0708.spades	Gaertneriomyces_sp._JEL0708	2516	21102010	78	1869936	240	8387.13	12	558018	43	120096	NA	NA	NA	NA	NA	NA	5439898	4802044	88.3	34.1
JEL0708.spades_shovill	Gaertneriomyces_sp._JEL0708	181	20410439	1002	1189554	18857	112764.86	16	410578	58	105626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0708.spades_sorted	Gaertneriomyces_sp._JEL0708	198	20557201	1034	1869936	5137	103824.25	12	558018	40	136441	91.4	86.2	5.2	1.7	6.9	290	5439898	4703471	86.5	34.2
JEL0728.dipspades	Terramyces_sp._JEL0728	767	15723004	78	520231	1304	20499.35	46	99493	176	22414	46.2	43.8	2.4	17.6	36.2	290	6407082	5754302	89.8	54.9
